연번,역명,평일(일평균),토요일,일요일
1,가락시장,26461,16265,11392
2,가산디지털단지,69071,39183,27970
3,강남,60310,36619,24596
4,강남구청,48317,30112,18881
5,강동,4509,2915,1992
6,건대입구,79228,61323,41399
7,고속터미널,161121,121887,83050
8,공덕,62879,35849,24785
9,교대,118635,78860,48340
10,군자,81948,56154,37374
11,김포공항,30699,20169,14634
12,까치산,29827,19130,13416
13,노원,30520,23073,15131
14,당산,56177,37741,25836
15,대림,61803,40426,27413
16,도곡,20160,12867,7768
17,도봉산,32655,26149,18076
18,동대문,33842,25726,16950
19,동대문역사문화공원,154090,104333,69926
20,동묘앞,30038,24746,17700
21,동작,31341,20428,13504
22,디지털미디어시티,29565,21196,15482
23,모란,15090,10578,7589
24,보문,12819,8477,5870
25,복정,54753,34355,23444
26,부평구청,37291,24365,16349
27,불광,19107,13839,9611
28,사당,120970,88546,57400
29,삼각지,32266,24822,16091
30,상봉,35488,26979,19371
31,서울역,88407,63291,47280
32,석계,18449,13076,9089
33,석촌,28286,17276,12186
34,선릉,72961,44036,26500
35,성수,19717,12466,8095
36,성신여대입구,20681,14997,10869
37,수서,12221,7747,5341
38,시청,32170,21278,14685
39,신길,36473,22064,14815
40,신내,4611,3358,2657
41,신당,28707,20192,14789
42,신도림,212007,158508,106919
43,신설동,28036,20405,13956
44,약수,38925,28103,18915
45,양재,45805,30762,20096
46,여의도,43255,26209,16949
47,연신내,26974,20416,13895
48,영등포구청,63349,39517,25288
49,오금,24308,14326,9604
50,옥수,21686,16200,10379
51,온수,45664,30660,20688
52,올림픽공원,14099,8952,6092
53,왕십리,115559,77578,50316
54,을지로3가,43321,29761,19074
55,을지로4가,12117,6598,3663
56,이촌,19557,16090,11814
57,잠실,84272,50492,32567
58,종로3가,103526,77772,49013
59,종합운동장,23666,15644,10368
60,창동,55371,43600,30898
61,천호,67529,41465,27310
62,청구,23950,16391,11211
63,청량리,16641,16273,12277
64,총신대입구(이수),51322,39342,25827
65,충무로,96674,67206,42442
66,충정로,11383,5167,3628
67,태릉입구,36556,24709,16303
68,합정,77243,54600,36300
69,홍대입구,48294,39447,28699
70,효창공원앞,4883,3580,2425
