연월,가스가격,전기가격,상대가격
2019-03-01,101.75,102.77,99.01
2019-04-01,101.75,102.77,99.01
2019-05-01,101.75,102.77,99.01
2019-06-01,101.75,102.77,99.01
2019-07-01,105.43,86.14,122.39
2019-08-01,105.45,86.14,122.42
2019-09-01,105.43,102.77,102.59
2019-10-01,105.43,102.77,102.59
2019-11-01,105.44,102.77,102.6
2019-12-01,105.44,102.77,102.6
2020-01-01,105.43,102.74,102.62
2020-02-01,105.43,102.74,102.62
2020-03-01,105.43,102.74,102.62
2020-04-01,105.43,102.74,102.62
2020-05-01,105.43,102.74,102.62
2020-06-01,105.43,102.74,102.62
2020-07-01,94.46,86.29,109.47
2020-08-01,94.59,86.29,109.62
2020-09-01,94.59,102.74,92.07
2020-10-01,94.59,102.74,92.07
2020-11-01,94.59,102.74,92.07
2020-12-01,94.59,102.74,92.07
2021-01-01,94.59,100.38,94.23
2021-02-01,94.59,100.38,94.23
2021-03-01,94.59,100.38,94.23
2021-04-01,94.59,100.38,94.23
2021-05-01,94.59,100.38,94.23
2021-06-01,94.59,100.38,94.23
2021-07-01,94.7,86.31,109.72
2021-08-01,94.7,86.31,109.72
2021-09-01,94.69,102.75,92.16
2021-10-01,94.69,105.39,89.85
2021-11-01,94.68,105.39,89.84
2021-12-01,94.68,105.39,89.84
2022-01-01,94.68,105.39,89.84
2022-02-01,94.68,105.39,89.84
2022-03-01,94.68,105.39,89.84
2022-04-01,97.35,111.45,87.35
2022-05-01,105.02,111.45,94.23
2022-06-01,105.02,111.45,94.23
2022-07-01,112.03,102,109.83
2022-08-01,112.11,102,109.91
2022-09-01,112.11,118.44,94.66
