"국가별",2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018
"국가별",생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%)
"튀르키예",-,-,1.6,1.4,-,-,1.7,1.4,-,-,1.7,1.3,-,-,1.6,1.2,-,-,1.9,1.4,-,-,1.7,1.2
"투르크메니스탄",2.1,1.8,0.7,0.7,2.3,2.0,0.7,0.8,2.4,2.0,0.9,1.0,2.3,1.9,0.9,0.8,2.1,1.7,0.9,0.8,2.2,1.6,1.0,0.7
"아랍에미리트",1.9,1.7,2.3,2.0,1.9,1.7,2.3,2.0,2.1,1.6,2.6,2.0,2.1,1.7,2.6,2.2,2.1,1.6,2.6,2.0,2.1,1.7,2.6,2.0
"우즈베키스탄",2.0,1.6,1.7,1.3,2.0,1.6,1.7,1.4,1.9,1.6,1.7,1.4,1.9,1.8,1.6,1.4,1.9,1.5,1.6,1.1,2.1,1.5,1.6,1.1
"베트남",0.3,0.3,0.3,0.3,0.4,-,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3
"예멘",0.4,0.3,-,-,0.4,0.3,-,-,0.1,0.1,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,
"캐나다",5.5,4.6,3.8,3.1,5.7,4.7,4.0,3.1,5.8,4.6,4.0,2.9,5.9,4.3,3.8,2.8,6.2,4.8,4.0,3.2,6.4,4.8,4.2,3.0
"멕시코",1.9,1.7,2.8,2.5,1.8,1.7,2.8,2.5,1.7,1.5,2.9,2.4,1.6,1.3,3.0,2.5,1.4,1.1,3.1,2.4,1.3,1.0,3.2,2.3
"미국",23.6,20.6,25.5,22.2,25.4,21.4,26.0,22.7,26.7,22.0,26.8,22.8,26.2,21.5,27.0,22.4,26.9,20.0,26.6,20.1,30.3,21.5,29.6,21.2
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,
"아르헨티나",1.2,1.1,1.7,1.4,1.2,1.0,1.7,1.4,1.3,1.0,1.7,1.4,1.3,1.1,1.7,1.4,1.3,1.0,1.7,1.3,1.4,1.0,1.8,1.3
"볼리비아",0.7,0.6,-,-,0.7,0.6,-,-,0.7,0.6,-,-,0.7,0.6,-,-,0.7,0.5,-,-,0.6,0.4,-,-
"브라질",0.8,0.6,1.4,1.1,0.8,0.6,1.5,1.2,0.9,0.6,1.5,1.2,0.9,0.7,1.3,1.0,1.0,0.7,1.4,1.0,0.9,0.7,1.3,0.9
"칠레",-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.2,-,-,0.2,0.2
"콜롬비아",0.5,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.5,0.3
"에콰도르",-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0
"페루",0.4,0.4,0.2,0.2,0.5,0.4,0.3,0.2,0.5,0.4,0.3,0.2,0.5,0.4,0.3,0.2,0.5,0.4,0.3,0.2,0.5,0.3,0.3,0.2
"트리니다드토바고",1.4,1.3,0.7,0.7,1.4,1.2,0.7,0.6,1.3,1.1,0.7,0.6,1.1,1.0,0.6,0.5,1.1,0.9,0.7,0.5,1.2,0.9,0.6,0.4
"베네수엘라",1.1,0.8,1.2,0.9,1.1,0.8,1.2,0.9,1.3,0.9,1.3,1.0,1.3,1.0,1.3,1.0,1.4,1.0,1.4,1.0,1.1,0.9,1.1,0.9
"유럽",,,,,,,,,,,,,,,,,,,,,,,,
"오스트리아",-,-,0.3,0.3,-,-,0.3,0.2,-,-,0.3,0.2,-,-,0.3,0.2,-,-,0.3,0.2,-,-,0.3,0.2
"벨라루스",-,-,0.7,0.5,-,-,0.7,0.5,-,-,0.6,0.5,-,-,0.6,0.5,-,-,0.7,0.5,-,-,0.7,0.5
"벨기에",-,-,0.6,0.5,-,-,0.5,0.4,-,-,0.6,0.4,-,-,0.6,0.4,-,-,0.6,0.4,-,-,0.6,0.4
"불가리아",-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1
"크로아티아",-,-,0.1,-,-,-,0.1,-,-,-,0.1,-,-,-,0.1,-,-,-,0.1,0.1,-,-,0.1,0.1
"체코",-,-,0.3,0.3,-,-,0.3,0.2,-,-,0.3,0.2,-,-,0.3,0.2,-,-,0.3,0.2,-,-,0.3,0.2
"덴마크",0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1
"에스토니아",-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,0.0,-,-,0.0,0.0
"핀란드",-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1
"프랑스",-,-,1.6,1.3,-,-,1.4,1.1,-,-,1.5,1.1,-,-,1.6,1.2,-,-,1.6,1.2,-,-,1.5,1.1
"독일",0.3,0.2,3.1,2.5,0.3,0.2,2.7,2.1,0.3,0.2,2.8,2.1,0.2,0.2,3.1,2.3,0.2,0.2,3.2,2.5,0.2,0.1,3.1,2.3
"그리스",-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.2,0.1,-,-,0.2,0.1
"헝가리",-,-,0.3,0.3,-,-,0.3,0.2,-,-,0.3,0.3,-,-,0.3,0.3,-,-,0.4,0.3,-,-,0.3,0.2
"아일랜드",-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1
"이탈리아",0.3,0.2,2.4,1.9,0.2,0.2,2.1,1.7,0.2,0.2,2.3,1.8,0.2,0.1,2.4,1.8,0.2,0.1,2.6,2.0,0.2,0.1,2.5,1.8
"라트비아",-,-,0.1,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,0.0,-,-,0.0,0.0
"리투아니아",-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1
"룩셈부르크",-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,0.0,-,-,0.0,0.0
"북마케도니아",-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,0.0,-,-,0.0,0.0
"네덜란드",2.6,2.0,1.4,1.1,2.2,1.6,1.2,0.9,1.7,1.2,1.2,0.9,1.6,1.1,1.3,0.9,1.4,1.0,1.3,1.0,1.2,0.8,1.3,0.9
"노르웨이",3.9,3.2,0.1,0.1,3.9,3.1,0.2,0.1,4.2,3.3,0.2,0.1,4.2,3.3,0.2,0.1,4.5,3.3,0.2,0.1,4.4,3.1,0.2,0.1
"폴란드",0.2,0.1,0.6,0.5,0.2,0.1,0.6,0.5,0.2,0.1,0.6,0.5,0.1,0.1,0.7,0.5,0.1,0.1,0.7,0.5,0.1,0.1,0.7,0.5
"포르투갈",-,-,0.2,0.1,-,-,0.1,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.2,-,-,0.2,0.2
"루마니아",0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.2,0.4,0.3
"러시아",22.1,17.9,15.3,12.3,21.3,16.7,15.2,12.0,21.0,16.1,14.7,11.2,21.2,16.2,15.1,11.0,22.9,17.3,15.5,11.6,24.1,17.3,16.4,11.8
"슬로바키아",-,-,0.2,0.2,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1
"슬로베니아",-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,-,0.0,0.0,-,-,0.0,0.0
"스페인",-,-,1.1,0.9,-,-,1.0,0.8,-,-,1.0,0.8,-,-,1.0,0.8,-,-,1.1,0.9,-,-,1.1,0.8
"스웨덴",-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0
"스위스",-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1
