날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2015-02-21",108,5.7,4.8,6.7
"	2015-02-22",108,3.5,-0.7,7
"	2015-02-23",108,0.9,-2.4,5.9
"	2015-02-24",108,2.1,-1.1,7.5
"	2015-02-25",108,5.4,0.2,12.5
"	2015-02-26",108,1.2,-3.5,4.7
"	2015-02-27",108,-1.3,-5.6,4.8
"	2015-02-28",108,2.7,-2,6.4
"	2015-03-01",108,2.4,-0.2,5.9
"	2015-03-02",108,3.9,-1.9,9.7
"	2015-03-03",108,2.8,-1.3,6.7
"	2015-03-04",108,-2.1,-4.6,1.4
"	2015-03-05",108,-0.3,-5.4,5.5
"	2015-03-06",108,2.9,-3.2,10.4
"	2015-03-07",108,4.2,-2.3,11
"	2015-03-08",108,7.7,0.4,15.1
"	2015-03-09",108,2.2,-5.4,8.2
"	2015-03-10",108,-3.4,-6.9,1
"	2015-03-11",108,0.4,-5.1,7.5
"	2015-03-12",108,2.1,-3.5,6.7
"	2015-03-13",108,5.6,1.8,11
"	2015-03-14",108,4.3,-1.2,11.6
"	2015-03-15",108,5.5,0,12.5
"	2015-03-16",108,9.8,1.3,18.6
"	2015-03-17",108,10.7,6.9,16.1
"	2015-03-18",108,10.7,8.4,14.4
"	2015-03-19",108,12.4,6.5,21
"	2015-03-20",108,13.4,7.6,21.9
"	2015-03-21",108,11.7,6.9,17.8
"	2015-03-22",108,8.3,2.2,14.9
"	2015-03-23",108,4.6,0,10.1
"	2015-03-24",108,5.4,-0.9,12.4
"	2015-03-25",108,6.5,0.1,14.2
"	2015-03-26",108,7.9,1.6,14.8
"	2015-03-27",108,9.1,3.2,16.2
"	2015-03-28",108,9.7,2.5,17
"	2015-03-29",108,10.5,7,16.5
"	2015-03-30",108,13.2,5.9,20.8
"	2015-03-31",108,12.9,10,14.9
"	2015-04-01",108,12.9,10,17.6
"	2015-04-02",108,14.8,8.5,21.8
"	2015-04-03",108,10.6,6.9,15.1
"	2015-04-04",108,13.5,8.9,18.5
"	2015-04-05",108,10.5,10.1,12.2
"	2015-04-06",108,10.3,6.9,15.4
"	2015-04-07",108,8.4,5.5,12.2
"	2015-04-08",108,8.3,3.5,13.7
"	2015-04-09",108,9.6,3.8,16.3
"	2015-04-10",108,11.6,4.6,19.2
"	2015-04-11",108,13.5,6.7,20.7
"	2015-04-12",108,14.9,9.1,20.4
"	2015-04-13",108,12,7.4,17.6
"	2015-04-14",108,6.9,5.8,8
"	2015-04-15",108,11.1,5.6,17
"	2015-04-16",108,9.9,6.9,14.8
"	2015-04-17",108,10.5,4.8,16.1
"	2015-04-18",108,15.2,5.2,23.7
"	2015-04-19",108,14.5,11.2,17.3
"	2015-04-20",108,12.2,10.3,16.8
"	2015-04-21",108,14,7.7,20.9
"	2015-04-22",108,14.2,9.3,20.7
"	2015-04-23",108,14.5,8,20.1
"	2015-04-24",108,15.7,10.4,22.8
"	2015-04-25",108,15.9,9.2,23
"	2015-04-26",108,17.3,9.9,24.4
"	2015-04-27",108,18.5,12.7,24.9
"	2015-04-28",108,20.3,12.3,26.9
"	2015-04-29",108,17,15.8,18.4
"	2015-04-30",108,21.2,15.1,28.3
"	2015-05-01",108,21,15.9,27.2
"	2015-05-02",108,20.7,15.8,26
"	2015-05-03",108,18.3,17.1,19.6
"	2015-05-04",108,16.1,12.5,20.1
"	2015-05-05",108,14.2,8.3,19.9
"	2015-05-06",108,15.4,9.8,22
"	2015-05-07",108,16.5,10.6,24
"	2015-05-08",108,16.7,11.7,22.7
"	2015-05-09",108,17.6,12.6,24
"	2015-05-10",108,19.1,13.5,25.9
"	2015-05-11",108,18.4,14.4,24.1
"	2015-05-12",108,13.3,10.3,17.5
"	2015-05-13",108,17.4,11.8,21.4
"	2015-05-14",108,20.4,15.3,26.6
"	2015-05-15",108,19.1,16.3,23.7
"	2015-05-16",108,18,11.6,25.2
"	2015-05-17",108,18.6,11.7,25.2
"	2015-05-18",108,17.7,13.7,22.2
"	2015-05-19",108,14.8,13,16.2
"	2015-05-20",108,16.3,10.6,21.9
"	2015-05-21",108,18.7,12.6,26
"	2015-05-22",108,20,13.7,27.2
"	2015-05-23",108,20.6,13.6,28.3
"	2015-05-24",108,21,14,28.5
"	2015-05-25",108,20.8,14.4,28.7
"	2015-05-26",108,21.5,14.1,30.3
"	2015-05-27",108,23.2,14.4,31.5
"	2015-05-28",108,24.3,16.7,32.2
"	2015-05-29",108,23.8,18.5,29.8
"	2015-05-30",108,19.8,17,23.2
"	2015-05-31",108,22.1,15.3,30.4
"	2015-06-01",108,21.7,15.8,28.5
"	2015-06-02",108,23.1,18.1,29.8
"	2015-06-03",108,23.3,17.1,29.4
"	2015-06-04",108,24.2,17.1,31.5
"	2015-06-05",108,19.1,17.5,22
"	2015-06-06",108,22.4,16.4,28.9
"	2015-06-07",108,23.4,18.7,31.5
"	2015-06-08",108,22.4,18.2,27.8
"	2015-06-09",108,22.2,18.8,28.1
"	2015-06-10",108,25.3,17.6,34.9
"	2015-06-11",108,24.6,20.7,30.2
"	2015-06-12",108,23.6,19.4,29.9
"	2015-06-13",108,24.7,20.1,30.9
"	2015-06-14",108,22.8,17.8,27.7
"	2015-06-15",108,24.2,19.6,30.6
"	2015-06-16",108,25,20,30.9
"	2015-06-17",108,23.4,20.2,30.8
"	2015-06-18",108,24.8,19.6,31.3
"	2015-06-19",108,24.5,20,29.9
"	2015-06-20",108,19.6,17,22.6
"	2015-06-21",108,22.4,15.6,29.6
"	2015-06-22",108,24,19.4,29.1
"	2015-06-23",108,24.7,19.7,31
"	2015-06-24",108,25.7,21.1,30.6
"	2015-06-25",108,24.8,21,29.1
"	2015-06-26",108,21,18,25.3
"	2015-06-27",108,25.2,19.2,31.1
"	2015-06-28",108,25.4,21,31.1
"	2015-06-29",108,25.7,21.2,30.6
"	2015-06-30",108,24.4,21.9,29.2
"	2015-07-01",108,23.7,21,27.9
"	2015-07-02",108,23.7,20.4,29.3
"	2015-07-03",108,23.3,19.2,28.3
"	2015-07-04",108,24.1,18.2,29.9
"	2015-07-05",108,24.2,20.1,29.6
"	2015-07-06",108,25.3,20.2,32.5
"	2015-07-07",108,25.6,21.4,29.7
"	2015-07-08",108,23.4,20.7,26.3
"	2015-07-09",108,26.5,22.1,31.8
"	2015-07-10",108,29.2,23.6,34.3
"	2015-07-11",108,30.4,25.7,36
"	2015-07-12",108,24.8,24,28
"	2015-07-13",108,23.1,21.4,24.9
"	2015-07-14",108,26.1,22.5,31.4
"	2015-07-15",108,27.9,22.7,33.9
"	2015-07-16",108,24.7,20.6,28.9
"	2015-07-17",108,23.6,18.4,28.6
"	2015-07-18",108,24.3,22.3,27.8
"	2015-07-19",108,25.1,21.3,29.8
"	2015-07-20",108,27.5,24.4,31.2
"	2015-07-21",108,27,24.6,29.6
"	2015-07-22",108,27.7,25.3,31.7
"	2015-07-23",108,26.9,24.9,32.1
"	2015-07-24",108,24.7,22.6,25.4
"	2015-07-25",108,25,24.4,26.4
"	2015-07-26",108,26,23.5,30
"	2015-07-27",108,26.2,24.4,30
"	2015-07-28",108,27.7,24.6,31.2
"	2015-07-29",108,26.7,24.8,28.8
"	2015-07-30",108,28.6,25.5,33.1
"	2015-07-31",108,27.9,26.2,32.4
"	2015-08-01",108,28.2,26,31.6
"	2015-08-02",108,26.5,24.1,29.2
"	2015-08-03",108,27.9,25.6,31.5
"	2015-08-04",108,27.5,25.4,30.8
"	2015-08-05",108,28.6,25.9,32.7
"	2015-08-06",108,29.3,24.5,34.4
"	2015-08-07",108,28.9,26,34.4
"	2015-08-08",108,26.6,24.3,33
"	2015-08-09",108,26.7,23.3,31
"	2015-08-10",108,27,23.9,32
"	2015-08-11",108,26.8,24.5,30.6
"	2015-08-12",108,27.3,22.1,32.9
"	2015-08-13",108,26.5,23.9,31.1
"	2015-08-14",108,26.9,22.7,32.5
"	2015-08-15",108,27.1,23.1,30.8
"	2015-08-16",108,25.8,20.7,31.2
"	2015-08-17",108,26.6,19.8,32.9
"	2015-08-18",108,27.9,24.1,32.2
"	2015-08-19",108,26.8,24.2,29.7
"	2015-08-20",108,25.4,24.2,28.1
"	2015-08-21",108,25.2,23,29.3
"	2015-08-22",108,25.5,23.4,29.6
"	2015-08-23",108,26.3,20.9,31.7
"	2015-08-24",108,26.3,23.3,30.3
"	2015-08-25",108,21.7,19.2,24.5
"	2015-08-26",108,21.9,18.9,25.3
"	2015-08-27",108,24.7,21.2,30
"	2015-08-28",108,23.2,19,28.1
"	2015-08-29",108,24.4,19,30.8
"	2015-08-30",108,24.9,19.9,31
"	2015-08-31",108,25.9,21,31.2
"	2015-09-01",108,25.9,22.6,30.7
"	2015-09-02",108,23.9,22,27.7
"	2015-09-03",108,23.9,19.8,28.2
"	2015-09-04",108,24.8,20.6,30.7
"	2015-09-05",108,21.9,19.4,23.6
"	2015-09-06",108,22.2,19.3,26.2
"	2015-09-07",108,22.6,16.8,28.7
"	2015-09-08",108,22.7,16.2,28.9
"	2015-09-09",108,22.4,15.3,30.1
"	2015-09-10",108,22.4,17,28.4
"	2015-09-11",108,21,16.8,24.4
"	2015-09-12",108,19.2,15.5,24
"	2015-09-13",108,20.2,15.2,26
"	2015-09-14",108,22.1,16.4,27.8
"	2015-09-15",108,22.8,17.4,28.7
"	2015-09-16",108,21.6,16,26.7
"	2015-09-17",108,21.4,15.5,27.6
"	2015-09-18",108,21.9,15.9,29.2
"	2015-09-19",108,22.3,17,29
"	2015-09-20",108,22.1,17.9,28.3
"	2015-09-21",108,22.6,16.5,29.4
"	2015-09-22",108,23.9,18,31
"	2015-09-23",108,22,19,26.1
"	2015-09-24",108,23.4,17.5,30.6
"	2015-09-25",108,23.4,19,29.8
"	2015-09-26",108,22.4,17.9,28
"	2015-09-27",108,21.9,14.2,29.8
"	2015-09-28",108,21.4,15.5,28.3
"	2015-09-29",108,22.1,15.9,28.2
"	2015-09-30",108,21.3,19.4,26.2
"	2015-10-01",108,16.3,10.7,19.7
"	2015-10-02",108,16.5,8.6,21.5
"	2015-10-03",108,19.2,13.3,24.5
"	2015-10-04",108,16.6,11.2,22.4
"	2015-10-05",108,18,11,25.6
"	2015-10-06",108,18.7,12.1,26.3
"	2015-10-07",108,19.6,14.1,25.7
"	2015-10-08",108,20.1,15.7,26.4
"	2015-10-09",108,16.2,12.8,20.5
"	2015-10-10",108,12.8,10.4,17.2
"	2015-10-11",108,10.8,8.1,14.4
"	2015-10-12",108,12.3,8.2,17.9
"	2015-10-13",108,15,7.8,21.3
"	2015-10-14",108,17.1,10.9,24.5
"	2015-10-15",108,17.9,12.1,26.1
"	2015-10-16",108,17.5,13.2,24.2
"	2015-10-17",108,18.7,12.4,26.6
"	2015-10-18",108,17.9,12.4,24.2
"	2015-10-19",108,18.1,13.6,23.9
"	2015-10-20",108,18.8,15.4,25.1
"	2015-10-21",108,17.9,13.9,22.7
"	2015-10-22",108,17.5,14.5,23.1
"	2015-10-23",108,17.5,15.2,21.4
"	2015-10-24",108,16.9,13.2,22
"	2015-10-25",108,16.3,12.1,22.8
"	2015-10-26",108,15,12,18.7
"	2015-10-27",108,12.1,7.7,15.9
"	2015-10-28",108,9.9,5.6,15.8
"	2015-10-29",108,8.4,3.2,14.7
"	2015-10-30",108,5.4,1.7,10.4
"	2015-10-31",108,5.7,1.1,12.3
"	2015-11-01",108,7,1.3,12.6
"	2015-11-02",108,10.8,6.1,15.2
"	2015-11-03",108,11.8,6.6,18.7
"	2015-11-04",108,12.2,5.8,19.8
"	2015-11-05",108,13.2,8.6,19.2
"	2015-11-06",108,13.5,9.6,19.2
"	2015-11-07",108,10.5,9.3,11.7
"	2015-11-08",108,11.1,10.3,11.8
"	2015-11-09",108,10.8,9.8,12.1
"	2015-11-10",108,10,7.7,13.5
"	2015-11-11",108,11.6,6.6,17.7
"	2015-11-12",108,14.5,10.2,21
"	2015-11-13",108,11.5,10.5,13.1
"	2015-11-14",108,12.8,11,14.2
"	2015-11-15",108,13.4,10.6,17.2
"	2015-11-16",108,12.2,10.7,14
"	2015-11-17",108,13.9,11,19.3
"	2015-11-18",108,10.4,8.4,12.6
"	2015-11-19",108,8.9,6.7,10.8
"	2015-11-20",108,9.8,7.1,14.4
"	2015-11-21",108,9.2,5,15.4
"	2015-11-22",108,10.2,5.9,15.7
"	2015-11-23",108,8.5,6.5,11
"	2015-11-24",108,5.6,2.7,8.8
"	2015-11-25",108,2.4,0.9,5.3
"	2015-11-26",108,-2.7,-4.8,0.9
"	2015-11-27",108,-2.8,-7.3,2
"	2015-11-28",108,0.1,-2.7,2.6
"	2015-11-29",108,2.5,1,3.9
"	2015-11-30",108,4.1,0.9,8.5
"	2015-12-01",108,4,-1.3,10.4
"	2015-12-02",108,6,2.9,8.5
"	2015-12-03",108,-0.7,-3.2,3.3
"	2015-12-04",108,-0.4,-4.4,3.1
"	2015-12-05",108,3.4,0.6,7.2
"	2015-12-06",108,1.3,-2,7.8
"	2015-12-07",108,1.9,-3.4,6.7
"	2015-12-08",108,2.9,-1.4,9.6
"	2015-12-09",108,5,-0.8,10.9
"	2015-12-10",108,7.8,5.8,9.2
"	2015-12-11",108,6.4,3.3,12.2
"	2015-12-12",108,5.2,1.1,11
"	2015-12-13",108,5.2,0.9,12.2
"	2015-12-14",108,5,2.6,6.4
"	2015-12-15",108,4.7,2,8.2
"	2015-12-16",108,-1,-5,2.8
"	2015-12-17",108,-4.6,-7.4,-0.4
"	2015-12-18",108,-3.3,-7,-1
"	2015-12-19",108,-0.1,-4.6,6.8
"	2015-12-20",108,1.5,-3.4,6
"	2015-12-21",108,2.2,-0.2,5
"	2015-12-22",108,3.1,-1.5,7.7
"	2015-12-23",108,5.9,2.9,10.6
"	2015-12-24",108,1.5,-1.6,5.3
"	2015-12-25",108,-0.8,-4.9,3.7
"	2015-12-26",108,0.9,-3.2,4.7
"	2015-12-27",108,-5.7,-8.9,-1
"	2015-12-28",108,-5.7,-9.5,-1
"	2015-12-29",108,-3.2,-8.7,2.9
"	2015-12-30",108,0.3,-3.5,4.3
"	2015-12-31",108,0.7,-1.9,2.8
"	",,,,
