날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2015-01-01",108,-7.7,-9.8,-4.3
"	2015-01-02",108,-6,-9,-1.9
"	2015-01-03",108,-2.7,-9.2,3.1
"	2015-01-04",108,2.5,0.2,8.5
"	2015-01-05",108,3.7,-1.1,7.9
"	2015-01-06",108,-3.2,-7.6,4
"	2015-01-07",108,-5.5,-8.9,-0.6
"	2015-01-08",108,-5.1,-9.5,-0.2
"	2015-01-09",108,-2.1,-6.8,3.5
"	2015-01-10",108,-0.3,-5.6,4.8
"	2015-01-11",108,-0.4,-4.3,2.5
"	2015-01-12",108,-2.7,-7.3,3.7
"	2015-01-13",108,0.2,-5.1,5.8
"	2015-01-14",108,2.5,-0.3,6.1
"	2015-01-15",108,2.8,-1.1,9
"	2015-01-16",108,0.8,-2.5,3.4
"	2015-01-17",108,-4.1,-7.7,0
"	2015-01-18",108,-1.3,-6.5,2.1
"	2015-01-19",108,-0.1,-4,3.1
"	2015-01-20",108,-0.9,-6.4,4.4
"	2015-01-21",108,2.6,-1.2,6.5
"	2015-01-22",108,3.1,0.8,7.1
"	2015-01-23",108,1.2,-1.6,4.9
"	2015-01-24",108,3.7,0.8,8.4
"	2015-01-25",108,3,1.1,5
"	2015-01-26",108,3.6,0.2,6.5
"	2015-01-27",108,-3.6,-7.4,0.5
"	2015-01-28",108,-4.1,-9.1,2.7
"	2015-01-29",108,-1.1,-4.6,3
"	2015-01-30",108,-3.3,-7,0.8
"	2015-01-31",108,-4.5,-8.5,0.8
"	2015-02-01",108,-3,-8.2,3.6
"	2015-02-02",108,-0.6,-5.3,6.4
"	2015-02-03",108,0.6,-3.5,7.2
"	2015-02-04",108,0.4,-3.1,5.8
"	2015-02-05",108,-0.1,-3.8,4.8
"	2015-02-06",108,0.4,-4.3,6.5
"	2015-02-07",108,1.2,-2.7,5.7
"	2015-02-08",108,-9.8,-11.9,-2.8
"	2015-02-09",108,-5.7,-13,-0.1
"	2015-02-10",108,1.7,-2,5.8
"	2015-02-11",108,2.7,-0.8,8
"	2015-02-12",108,-2.2,-4.7,1.6
"	2015-02-13",108,-1.6,-6.4,4
"	2015-02-14",108,2,-3.1,6.6
"	2015-02-15",108,7.9,3.2,13
"	2015-02-16",108,5,4.1,7.9
"	2015-02-17",108,1.9,0.5,4.1
"	2015-02-18",108,0.8,-1.5,3.3
"	2015-02-19",108,2.2,-2.7,8.6
"	2015-02-20",108,5.2,-1.3,11.4
