"계정코드별","통화계약구분코드별","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월",
"총지수","원화기준","수입물가지수(기본분류)","2015=100","127.35","130.83","129.79","129.91","127.56","130.26","129.2","130.03","127.02","123.94","123.38","123.85","123.53","124.6","123.95","120.89","118.83","118.77","118.15","117.2","115.77","114.53","113.53","107.7","99.57","102.37","102.71","100.23","101.5","102.08","101.64","101.22","100.6","97.49","95.81","94.78","93.32","94.79","94.88","93.14","96.37","97.11","94.41","92.73","92.89","96.93","99.28","103.46","105.75","103.51","101.29","101.72","100.28","99.07","99.57","101.13","102.92","103.5","103.25","102.53","103.37","103.84","104.39","105.53","108.64","110.01","111.5","111.18","113.03","115.02","109.36","105.31",
"총지수","계약통화기준","수입물가지수(기본분류)","2015=100","130.96","132.31","129.82","127.94","127.14","126.69","126.78","128.44","128.9","127.86","127.98","129.36","128.15","128.34","127.66","127.56","127.7","128.39","127.66","126.15","124.19","119.97","115.92","109.41","102.71","104.85","104.25","103.84","104.8","103.67","100.63","97.28","96.05","95.91","94.31","91.7","87.99","87.99","89.99","90.99","92.3","92.9","92.26","92.86","93.41","96.31","96.1","99.06","100.95","101.96","100.58","101.02","100.13","98.36","98.44","100.01","101.74","102.52","104.62","105.61","108","107.05","108.26","109.95","112.68","112.58","111.29","111.22","113.09","114.22","108.93","105.36",
"총지수","달러기준","수입물가지수(기본분류)","2015=100","135.01","135.99","133","130.78","129.73","129.59","129.46","131.49","131.95","131.22","131.1","132.38","131.03","131.35","130.72","130.71","130.94","131.6","130.84","129.09","126.55","121.98","117.08","110.15","103.28","105.28","104.28","103.99","105.05","103.67","100.42","96.96","95.91","95.91","93.94","91.32","87.71","87.94","90.2","91.67","92.91","93.69","93.18","94.2","94.74","97.29","96.54","98.83","100.78","102.11","100.82","101.42","100.65","99.01","99.14","101","102.73","103.31","105.52","106.65","109.44","108.61","109.98","111.61","113.97","113.69","112.16","112.05","113.97","114.92","109.5","105.97",
"곡류","원화기준","수입물가지수(기본분류)","2015=100","97.02","98.97","99.66","103.09","102.05","102.54","102.55","100.27","95.89","86.48","91.44","90.93","91.62","92.18","92.16","89.88","89.88","90.99","91.05","91.53","93.85","97.38","100.58","102.92","97.94","97.22","98.84","96.7","96.26","98.1","101.43","104.61","105.11","101.87","102.21","99.7","102.2","103.61","98.36","94.99","93.69","93.54","92.23","89.62","88.45","89.87","92.78","93.91","94.13","90.94","90.98","90.82","88.98","89.35","89.7","89.06","89.13","89.13","93.59","92.64","91.01","92.11","91.45","91.1","90.31","91.68","95.89","96.42","96.37","97.24","97.06","95.85",
"곡류","계약통화기준","수입물가지수(기본분류)","2015=100","102.97","102.97","102.23","103.89","103.89","102.12","102.87","101.51","99.71","91.66","97.28","97.3","97.3","97.3","97.3","97.3","99.15","100.93","100.93","100.93","102.71","103.86","103.86","105.39","101.71","100.09","100.45","100.45","99.75","99.75","100.33","100.33","100.33","100.33","100.33","96.16","96.16","96.23","93.61","93.61","90.42","90.35","91.15","91.15","90.31","90.31","90.31","89.81","89.81","89.81","90.65","90.65","89.4","89.4","89.4","89.05","89.05","89.05","95.76","96.46","96.46","96.46","96.46","96.46","94.84","94.84","96.56","97.22","97.22","97.22","97.22","96.5",
"곡류","달러기준","수입물가지수(기본분류)","2015=100","102.97","102.97","102.23","103.89","103.89","102.12","102.87","101.51","99.71","91.66","97.28","97.3","97.3","97.3","97.3","97.3","99.15","100.93","100.93","100.93","102.71","103.86","103.86","105.39","101.71","100.09","100.45","100.45","99.75","99.75","100.33","100.33","100.33","100.33","100.33","96.16","96.16","96.23","93.61","93.61","90.42","90.35","91.15","91.15","90.31","90.31","90.31","89.81","89.81","89.81","90.65","90.65","89.4","89.4","89.4","89.05","89.05","89.05","95.76","96.46","96.46","96.46","96.46","96.46","94.84","94.84","96.56","97.22","97.22","97.22","97.22","96.5",
"곡물및식량작물","원화기준","수입물가지수(기본분류)","2015=100","134.17","135.66","134.42","132.94","132.03","131.92","124.18","122.34","118.68","114.91","113.64","112.36","113.72","117.06","121.17","118.24","115.09","111.81","109.34","105.69","104.78","108.94","111.67","112.74","104.8","102.95","102.2","99.05","95.34","99.35","100.62","101.15","101.75","98.33","97.8","96.65","99.39","99.37","94.8","93.21","97.31","99.93","95.01","92.41","92.18","93.2","95.8","96.51","98.21","96.09","94.18","91.4","90.42","90.53","95.11","92.84","93.07","93.13","91.41","90.02","89.95","93.52","97.11","97.28","98.02","98.07","99.15","98.66","97.55","98.52","98.45","97.38",
"곡물및식량작물","계약통화기준","수입물가지수(기본분류)","2015=100","142.28","141.03","137.78","133.87","134.29","131.28","124.45","123.73","123.3","121.68","120.79","120.12","120.67","123.44","127.82","127.88","126.84","123.91","121.11","116.44","114.57","116.08","115.2","115.33","108.73","105.89","103.78","102.79","98.7","100.92","99.43","96.91","97.03","96.75","95.91","93.14","93.43","92.22","90.13","91.77","93.85","96.45","93.81","93.91","94.02","93.57","93.17","92.22","93.62","94.83","93.76","91.16","90.78","90.51","94.71","92.76","92.93","92.98","93.45","93.67","95.26","97.87","102.36","102.93","102.89","101.39","99.77","99.42","98.34","98.44","98.56","97.99",
"곡물및식량작물","달러기준","수입물가지수(기본분류)","2015=100","142.28","141.03","137.78","133.87","134.29","131.28","124.45","123.73","123.3","121.68","120.79","120.12","120.67","123.44","127.82","127.88","126.84","123.91","121.11","116.44","114.57","116.08","115.2","115.33","108.73","105.89","103.78","102.79","98.7","100.92","99.43","96.91","97.03","96.75","95.91","93.14","93.43","92.22","90.13","91.77","93.85","96.45","93.81","93.91","94.02","93.57","93.17","92.22","93.62","94.83","93.76","91.16","90.78","90.51","94.71","92.76","92.93","92.98","93.45","93.67","95.26","97.87","102.36","102.93","102.89","101.39","99.77","99.42","98.34","98.44","98.56","97.99",
"과실","원화기준","수입물가지수(기본분류)","2015=100","88.61","87.74","93.29","96.58","100.6","97.21","97.09","94.29","88.79","88.13","91.74","90.74","91.07","95.79","98.03","101.83","99.89","98.82","97.4","94.84","94.46","96.93","98.9","97.93","98.83","101.13","101.88","99.77","97.65","97.88","101","103.59","103.1","97.01","99.4","98.78","102.47","100.37","101.8","97.82","99.7","99.03","96.96","95.95","96.71","96.32","104.49","104.42","104.28","96.52","96.26","99.02","97.19","98.65","98.11","99.78","97.23","96.44","104.5","103.84","103.8","106.18","102.79","112.5","108.63","107.66","103.23","105.09","103.88","103.49","104.77","102.55",
"과실","계약통화기준","수입물가지수(기본분류)","2015=100","93.99","91.24","95.65","97.29","102.35","96.77","97.33","95.39","92.27","93.36","97.54","97.04","96.66","101.05","103.45","110.17","110.13","109.55","107.92","104.52","103.31","103.31","102.06","100.22","102.58","104.06","103.5","103.57","101.13","99.47","99.85","99.29","98.34","95.48","97.52","95.23","96.37","93.17","96.83","96.34","96.17","95.62","95.77","97.54","98.68","96.73","101.65","99.82","99.45","95.28","95.87","98.8","97.62","98.67","97.75","99.73","97.11","96.32","106.88","108.1","109.99","111.17","108.4","119.09","114.08","111.35","103.93","105.95","104.78","103.44","104.94","103.24",
"과실","달러기준","수입물가지수(기본분류)","2015=100","93.99","91.24","95.65","97.29","102.35","96.77","97.33","95.39","92.27","93.36","97.54","97.04","96.66","101.05","103.45","110.17","110.13","109.55","107.92","104.52","103.31","103.31","102.06","100.22","102.58","104.06","103.5","103.57","101.13","99.47","99.85","99.29","98.34","95.48","97.52","95.23","96.37","93.17","96.83","96.34","96.17","95.62","95.77","97.54","98.68","96.73","101.65","99.82","99.45","95.28","95.87","98.8","97.62","98.67","97.75","99.73","97.11","96.32","106.88","108.1","109.99","111.17","108.4","119.09","114.08","111.35","103.93","105.95","104.78","103.44","104.94","103.24",
"잎담배","원화기준","수입물가지수(기본분류)","2015=100","94.41","96.3","97.67","99.42","98.43","100.6","99.9","98.99","96.36","94.54","94.19","93.64","99.05","99.66","99.62","97.17","95.35","94.82","94.87","95.39","96.12","98.63","101.87","102.73","101.29","102.17","103.5","101.27","101.52","103.46","106.34","97.07","97.53","94.52","94.83","96.5","94.87","96.11","93.8","90.6","92.49","92.41","90.33","91.38","91.03","88.37","91.22","87.53","87.12","84.17","83.41","83.27","82.72","83.07","83.39","83.13","83.19","83.19","81.23","79.82","77.11","78.05","77.49","77.19","77.82","79.01","81.18","81.06","81.02","81.75","81.59","80.87",
"잎담배","계약통화기준","수입물가지수(기본분류)","2015=100","100.06","100.06","100.06","100.06","100.06","100.06","100.06","100.06","100.06","100.06","100.06","100.06","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","92.95","92.95","92.95","92.95","92.95","89.14","89.14","89.14","89.14","89.14","89.14","89.14","92.81","92.81","88.67","88.67","83.59","83.01","83.01","83.01","83.01","83.01","83.01","83.01","83.01","83.01","83.01","83.01","83.01","81.63","81.63","81.63","81.63","81.63","81.63","81.63","81.63","81.63","81.63","81.63","81.32",
"잎담배","달러기준","수입물가지수(기본분류)","2015=100","100.06","100.06","100.06","100.06","100.06","100.06","100.06","100.06","100.06","100.06","100.06","100.06","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","105.03","92.95","92.95","92.95","92.95","92.95","89.14","89.14","89.14","89.14","89.14","89.14","89.14","92.81","92.81","88.67","88.67","83.59","83.01","83.01","83.01","83.01","83.01","83.01","83.01","83.01","83.01","83.01","83.01","83.01","81.63","81.63","81.63","81.63","81.63","81.63","81.63","81.63","81.63","81.63","81.63","81.32",
"농산물","원화기준","수입물가지수(기본분류)","2015=100","124.02","126.26","127","124.59","124.25","123.68","118.44","116.36","112.39","108.82","107.26","107.15","108.53","111.26","113.57","111.75","109.44","106.74","104.97","102.89","102","105.42","107.62","107.86","103.2","102.91","102.37","99.39","97.09","100.16","101.66","101.94","101.09","96.93","96.79","96.47","98.21","97.75","95.34","94.01","97.49","98.64","95.73","93.57","93.93","95.18","99.9","101.3","104.57","101.94","100.11","97.56","95.38","95.25","97.67","96.99","96.79","96.11","95.01","93.29","92.98","95.91","97.09","98.54","98.56","98.98","99.13","98.32","97.14","98.59","98.52","96.24",
"농산물","계약통화기준","수입물가지수(기본분류)","2015=100","131.42","131.25","130.16","125.46","126.37","123.07","118.69","117.68","116.76","115.23","114","114.55","115.15","117.32","119.8","120.85","120.62","118.29","116.26","113.35","111.52","112.32","111.02","110.33","107.06","105.84","103.95","103.13","100.5","101.74","100.46","97.67","96.4","95.37","94.92","92.97","92.33","90.71","90.65","92.56","94.01","95.2","94.53","95.09","95.81","95.55","97.15","96.8","99.68","100.59","99.66","97.3","95.76","95.22","97.27","96.9","96.64","95.95","97.14","97.07","98.48","100.37","102.33","104.27","103.45","102.32","99.75","99.07","97.93","98.5","98.63","96.83",
"농산물","달러기준","수입물가지수(기본분류)","2015=100","131.5","131.25","130.17","125.46","126.37","123.07","118.69","117.68","116.76","115.23","114","114.55","115.15","117.32","119.8","120.85","120.62","118.29","116.26","113.35","111.52","112.32","111.02","110.33","107.07","105.84","103.94","103.13","100.51","101.74","100.45","97.67","96.39","95.37","94.91","92.97","92.33","90.71","90.65","92.56","94.01","95.2","94.52","95.09","95.81","95.55","97.15","96.79","99.68","100.58","99.66","97.3","95.76","95.22","97.26","96.9","96.63","95.95","97.14","97.06","98.47","100.36","102.32","104.26","103.44","102.31","99.74","99.06","97.92","98.49","98.62","96.82",
"도축육","원화기준","수입물가지수(기본분류)","2015=100","93.53","94.6","96.2","98.69","97.8","98.34","98.26","97.73","96.07","94.97","95.91","95.16","98.69","99.2","103.33","103.58","103.21","103.03","104.66","107.17","106.96","108.97","111.93","111.02","107.4","103.83","103.83","98.41","97.24","96.3","96.77","101.23","102.02","97.81","97.01","98.13","98.49","100.06","97.2","95.03","99.74","101.97","99.38","99.07","101.46","104","105.6","106.04","104.82","100.2","100.64","99.54","99.71","99.63","98.72","96.98","96.73","98.83","95.95","94.58","94.41","96.4","94.19","92.78","93.87","94","94.58","93.84","95.82","97.38","96.97","95.61",
"도축육","계약통화기준","수입물가지수(기본분류)","2015=100","99.17","98.35","98.59","99.37","99.47","97.86","98.47","98.83","99.8","100.56","101.94","101.72","104.71","104.6","108.99","112.01","113.74","114.18","115.92","118.06","116.94","116.1","115.45","113.56","111.42","106.77","105.42","102.11","100.66","97.8","95.62","96.98","97.27","96.23","95.14","94.56","92.59","92.85","92.41","93.55","96.17","98.41","98.13","100.67","103.49","104.4","102.69","101.31","99.91","98.86","100.18","99.28","100.1","99.59","98.3","96.88","96.56","98.66","98.09","98.4","99.98","100.86","99.27","98.16","98.51","97.18","95.15","94.55","96.59","97.28","97.06","96.19",
"도축육","달러기준","수입물가지수(기본분류)","2015=100","99.17","98.35","98.59","99.37","99.47","97.86","98.47","98.83","99.8","100.56","101.94","101.72","104.71","104.6","108.99","112.01","113.74","114.18","115.92","118.06","116.94","116.1","115.45","113.56","111.42","106.77","105.42","102.11","100.66","97.8","95.62","96.98","97.27","96.23","95.14","94.56","92.59","92.85","92.41","93.55","96.17","98.41","98.13","100.67","103.49","104.4","102.69","101.31","99.91","98.86","100.18","99.28","100.1","99.59","98.3","96.88","96.56","98.66","98.09","98.4","99.98","100.86","99.27","98.16","98.51","97.18","95.15","94.55","96.59","97.28","97.06","96.19",
"낙농및육류","원화기준","수입물가지수(기본분류)","2015=100","93.53","94.6","96.2","98.69","97.8","98.34","98.26","97.73","96.07","94.97","95.91","95.16","98.69","99.2","103.33","103.58","103.21","103.03","104.66","107.17","106.96","108.97","111.93","111.02","107.4","103.83","103.83","98.41","97.24","96.3","96.77","101.23","102.02","97.81","97.01","98.13","98.49","100.06","97.2","95.03","99.74","101.97","99.38","99.07","101.46","104","105.6","106.04","104.82","100.2","100.64","99.54","99.71","99.63","98.72","96.98","96.73","98.83","95.95","94.58","94.38","96.69","94.85","93.61","94.85","96.21","97.82","96.52","96.55","97.98","97.27","95.46",
"낙농및육류","계약통화기준","수입물가지수(기본분류)","2015=100","99.17","98.35","98.59","99.37","99.47","97.86","98.47","98.83","99.8","100.56","101.94","101.72","104.71","104.6","108.99","112.01","113.74","114.18","115.92","118.06","116.94","116.1","115.45","113.56","111.42","106.77","105.42","102.11","100.66","97.8","95.62","96.98","97.27","96.23","95.14","94.56","92.59","92.85","92.41","93.55","96.17","98.41","98.13","100.67","103.49","104.4","102.69","101.31","99.91","98.86","100.18","99.28","100.1","99.59","98.3","96.88","96.56","98.66","98.09","98.4","99.95","100.98","99.91","98.89","99.36","99.34","98.5","97.67","97.67","98.22","97.78","96.41",
"낙농및육류","달러기준","수입물가지수(기본분류)","2015=100","99.17","98.35","98.59","99.37","99.47","97.86","98.47","98.83","99.8","100.56","101.94","101.72","104.71","104.6","108.99","112.01","113.74","114.18","115.92","118.06","116.94","116.1","115.45","113.56","111.42","106.77","105.42","102.11","100.66","97.8","95.62","96.98","97.27","96.23","95.14","94.56","92.59","92.85","92.41","93.55","96.17","98.41","98.13","100.67","103.49","104.4","102.69","101.31","99.91","98.86","100.18","99.28","100.1","99.59","98.3","96.88","96.56","98.66","98.09","98.4","99.95","100.98","99.91","98.89","99.36","99.34","98.5","97.67","97.67","98.22","97.78","96.41",
"원목","원화기준","수입물가지수(기본분류)","2015=100","110.22","114.82","122.91","126.18","124.92","127.7","125.38","124.4","122.18","120.71","120.96","121.27","123.5","125.34","127.28","122.81","114.45","109.02","103.68","104.23","106.79","109.58","112.79","111.37","109.17","108.17","106.74","95.44","91.26","94.83","97.42","97.11","94.47","96.76","103.53","105.11","106.19","106.66","104.39","102.04","107.16","106.62","102.06","99.75","102.28","105.5","111.25","113.76","115.29","112.49","112.24","113.87","114.32","116.59","117.84","117.59","117.67","119.98","118.65","118.39","116.44","118.11","117.35","117.38","119.14","121.3","121.56","118.32","118.85","120.4","120.14","119.72",
"원목","계약통화기준","수입물가지수(기본분류)","2015=100","116.88","119.37","125.98","127.06","127.06","127.09","125.65","125.81","126.95","127.83","128.57","129.64","131.03","132.17","134.26","132.82","126.14","120.82","114.84","114.84","116.75","116.75","116.34","113.92","113.26","111.23","108.37","99.02","94.46","96.31","96.26","93.03","90.06","95.19","101.52","101.29","99.81","98.97","99.23","100.45","103.32","102.89","100.77","101.36","104.31","105.9","108.17","108.69","109.88","110.97","111.72","113.55","114.75","116.54","117.34","117.46","117.46","119.75","121.28","123.17","123.31","123.58","123.66","124.19","125.03","125.39","122.3","119.2","119.81","120.28","120.25","120.44",
"원목","달러기준","수입물가지수(기본분류)","2015=100","116.88","119.37","125.98","127.06","127.06","127.09","125.65","125.81","126.95","127.83","128.57","129.64","131.03","132.17","134.26","132.82","126.14","120.82","114.84","114.84","116.75","116.75","116.34","113.92","113.26","111.23","108.37","99.02","94.46","96.31","96.26","93.03","90.06","95.19","101.52","101.29","99.81","98.97","99.23","100.45","103.32","102.89","100.77","101.36","104.31","105.9","108.17","108.69","109.88","110.97","111.72","113.55","114.75","116.54","117.34","117.46","117.46","119.75","121.28","123.17","123.31","123.58","123.66","124.19","125.03","125.39","122.3","119.2","119.81","120.28","120.25","120.44",
"임산물","원화기준","수입물가지수(기본분류)","2015=100","110.22","114.82","122.91","126.18","124.92","127.7","125.38","124.4","122.18","120.71","120.96","121.27","123.5","125.34","127.28","122.81","114.45","109.02","103.68","104.23","106.79","109.58","112.79","111.37","109.17","108.17","106.74","95.44","91.26","94.83","97.42","97.11","94.47","96.76","103.53","105.11","106.19","106.66","104.39","102.04","107.16","106.62","102.06","99.75","102.28","105.5","111.25","113.76","115.29","112.49","112.24","113.87","114.32","116.59","117.84","117.59","117.67","119.98","118.65","118.39","116.44","118.11","117.35","117.38","119.14","121.3","121.56","118.32","118.85","120.4","120.14","119.72",
"임산물","계약통화기준","수입물가지수(기본분류)","2015=100","116.88","119.37","125.98","127.06","127.06","127.09","125.65","125.81","126.95","127.83","128.57","129.64","131.03","132.17","134.26","132.82","126.14","120.82","114.84","114.84","116.75","116.75","116.34","113.92","113.26","111.23","108.37","99.02","94.46","96.31","96.26","93.03","90.06","95.19","101.52","101.29","99.81","98.97","99.23","100.45","103.32","102.89","100.77","101.36","104.31","105.9","108.17","108.69","109.88","110.97","111.72","113.55","114.75","116.54","117.34","117.46","117.46","119.75","121.28","123.17","123.31","123.58","123.66","124.19","125.03","125.39","122.3","119.2","119.81","120.28","120.25","120.44",
"임산물","달러기준","수입물가지수(기본분류)","2015=100","116.88","119.37","125.98","127.06","127.06","127.09","125.65","125.81","126.95","127.83","128.57","129.64","131.03","132.17","134.26","132.82","126.14","120.82","114.84","114.84","116.75","116.75","116.34","113.92","113.26","111.23","108.37","99.02","94.46","96.31","96.26","93.03","90.06","95.19","101.52","101.29","99.81","98.97","99.23","100.45","103.32","102.89","100.77","101.36","104.31","105.9","108.17","108.69","109.88","110.97","111.72","113.55","114.75","116.54","117.34","117.46","117.46","119.75","121.28","123.17","123.31","123.58","123.66","124.19","125.03","125.39","122.3","119.2","119.81","120.28","120.25","120.44",
"신선어류","원화기준","수입물가지수(기본분류)","2015=100","104.07","103.71","112.83","137.85","108.34","110.18","109.89","108.28","104.22","106.89","103.02","82.36","82.33","99.29","103.35","102.41","98.93","90.84","91.71","97.87","96.58","96.44","94.19","98.53","88.17","86.38","94.85","94.89","92.67","92.48","97.43","109.91","118.28","107.1","111.23","106.6","109.19","113.04","113.52","118.81","122.39","121.08","116.98","128.01","114.2","126.63","119.3","112.42","116.81","114","118.5","121.37","102.65","109.43","105.98","106.38","100.43","104.4","103.69","108.57","100.79","102.39","105.4","106.62","100.46","93.72","83.41","82.82","76.13","79.11","87.13","92.15",
"신선어류","계약통화기준","수입물가지수(기본분류)","2015=100","91.72","92.72","100.87","123.7","100.64","97.49","99.65","97.69","97.69","101.05","99.25","81.91","81.65","96.49","100.56","102.36","100.21","92.69","93.36","99.73","99.73","97.3","95.45","100.38","90.73","88.19","96.32","98.15","96.06","95.24","97.44","106.48","112.72","105.27","110.06","103.35","101.69","102.47","104.58","111.78","112.32","109.52","107.43","119.34","107.16","118.06","109.99","105.45","108.89","109.02","114.31","115.76","99.51","105","102.03","101.53","96.15","100.98","102.67","109.45","102.54","101.58","103.75","106.44","101.55","93.59","82.09","81.35","75.3","78.25","86.77","91.48",
"신선어류","달러기준","수입물가지수(기본분류)","2015=100","110.67","108.12","115.99","139.17","110.51","109.95","110.45","109.83","108.6","113.52","109.81","88.31","87.6","105","109.33","111.08","109.36","100.96","101.87","108.14","105.9","103.05","97.45","101.08","91.74","89.09","96.6","98.76","96.21","94.21","96.56","105.59","113.12","105.68","109.4","103.02","102.94","105.16","108.25","117.3","118.35","117.18","115.82","130.47","116.82","127.49","116.33","107.73","111.68","112.82","118.32","121.39","103.36","109.71","105.85","106.59","100.56","104.53","106.32","113.3","107.06","107.47","111.42","113.14","105.75","97.18","84.18","83.71","76.98","79.28","87.48","92.99",
"신선수산물","원화기준","수입물가지수(기본분류)","2015=100","104.07","103.71","112.83","137.85","108.34","110.18","109.89","108.28","104.22","106.89","103.02","82.36","82.33","99.29","103.35","102.41","98.93","90.84","91.71","97.87","96.58","96.44","94.19","98.53","88.17","86.38","94.85","94.89","92.67","92.48","97.43","109.91","118.28","107.1","111.23","106.6","109.19","113.04","113.52","118.81","122.39","121.08","116.98","128.01","114.2","126.63","119.3","112.42","116.81","114","118.5","121.37","102.65","109.43","105.98","106.38","100.43","104.4","103.69","108.57","100.79","102.39","105.4","106.62","100.46","93.72","83.41","82.82","76.13","79.11","87.13","92.15",
"신선수산물","계약통화기준","수입물가지수(기본분류)","2015=100","91.72","92.72","100.87","123.7","100.64","97.49","99.65","97.69","97.69","101.05","99.25","81.91","81.65","96.49","100.56","102.36","100.21","92.69","93.36","99.73","99.73","97.3","95.45","100.38","90.73","88.19","96.32","98.15","96.06","95.24","97.44","106.48","112.72","105.27","110.06","103.35","101.69","102.47","104.58","111.78","112.32","109.52","107.43","119.34","107.16","118.06","109.99","105.45","108.89","109.02","114.31","115.76","99.51","105","102.03","101.53","96.15","100.98","102.67","109.45","102.54","101.58","103.75","106.44","101.55","93.59","82.09","81.35","75.3","78.25","86.77","91.48",
"신선수산물","달러기준","수입물가지수(기본분류)","2015=100","110.67","108.12","115.99","139.17","110.51","109.95","110.45","109.83","108.6","113.52","109.81","88.31","87.6","105","109.33","111.08","109.36","100.96","101.87","108.14","105.9","103.05","97.45","101.08","91.74","89.09","96.6","98.76","96.21","94.21","96.56","105.59","113.12","105.68","109.4","103.02","102.94","105.16","108.25","117.3","118.35","117.18","115.82","130.47","116.82","127.49","116.33","107.73","111.68","112.82","118.32","121.39","103.36","109.71","105.85","106.59","100.56","104.53","106.32","113.3","107.06","107.47","111.42","113.14","105.75","97.18","84.18","83.71","76.98","79.28","87.48","92.99",
"냉동수산물","원화기준","수입물가지수(기본분류)","2015=100","81.87","83.51","86.49","88.78","87.74","89.36","91.85","91.61","89.38","89.06","89.06","88.55","89.56","90.11","95.36","99.61","98.68","98.6","98.18","98.03","100.01","100.76","99.09","99.92","100.85","101.71","102.09","101.16","99.36","101.81","101.38","102.66","101.12","97.92","93.19","96.74","102.81","103.67","97.75","97.16","102.52","104.65","101.4","97.25","99.12","100.59","104.99","110.08","110.65","107.44","107.09","105.98","104.08","102.91","101.35","99.16","99.81","99.99","97.66","96.53","94.83","97.19","96.5","96.84","99.98","104.89","106.4","106.76","101.95","104.18","102.16","100.78",
"냉동수산물","계약통화기준","수입물가지수(기본분류)","2015=100","86.81","86.81","88.64","89.4","89.24","88.92","92.04","92.65","92.85","94.31","94.66","94.66","95.02","95.02","100.59","107.71","108.75","109.26","108.74","107.99","109.33","107.35","102.21","102.21","104.63","104.61","103.65","104.96","102.86","103.4","100.18","98.36","96.42","96.35","91.37","93.22","96.64","96.2","92.93","95.65","98.85","100.99","100.11","98.82","101.1","100.97","102.09","105.17","105.47","106.02","106.61","105.7","104.48","102.86","100.91","99.05","99.64","99.82","99.82","100.42","100.42","101.69","101.69","102.44","104.91","108.4","107.02","107.55","102.76","104.06","102.24","101.36",
"냉동수산물","달러기준","수입물가지수(기본분류)","2015=100","86.81","86.81","88.64","89.4","89.24","88.92","92.04","92.65","92.85","94.31","94.66","94.66","95.02","95.02","100.59","107.71","108.75","109.26","108.74","107.99","109.33","107.35","102.21","102.21","104.63","104.61","103.65","104.96","102.86","103.4","100.18","98.36","96.42","96.35","91.37","93.22","96.64","96.2","92.93","95.65","98.85","100.99","100.11","98.82","101.1","100.97","102.09","105.17","105.47","106.02","106.61","105.7","104.48","102.86","100.91","99.05","99.64","99.82","99.82","100.42","100.42","101.69","101.69","102.44","104.91","108.4","107.02","107.55","102.76","104.06","102.24","101.36",
"농림수산품","원화기준","수입물가지수(기본분류)","2015=100","107.68","109.58","111.59","112.41","110.76","111.08","108.67","107.34","104.34","102.24","101.58","100.56","102.53","104.71","108.01","107.56","105.67","103.77","103.11","103.09","102.98","105.44","107.22","107.25","103.71","102.66","102.66","99.11","97.11","98.93","100","101.91","101.6","97.64","97","97.65","99.72","100.14","97.2","95.96","100.1","101.51","98.51","96.95","97.63","99.7","103.24","104.72","106.41","103.18","102.49","100.94","98.79","98.91","99.57","98.45","98.13","98.61","96.89","95.69","94.84","97.41","97.53","98.04","98.68","99.8","100.12","99.26","97.71","99.34","99.12","97.46",
"농림수산품","계약통화기준","수입물가지수(기본분류)","2015=100","113.5","113.4","113.94","112.97","112.42","110.2","108.65","108.25","108.13","107.98","107.73","107.26","108.54","110.13","113.64","116.02","116.15","114.7","113.89","113.29","112.38","112.14","110.52","109.69","107.57","105.56","104.24","102.82","100.53","100.53","98.85","97.68","96.88","96.07","95.16","94.13","93.71","92.84","92.29","94.29","96.32","97.7","96.98","98.14","99.26","99.77","100.18","99.99","101.34","101.67","101.9","100.47","99.04","98.7","99.01","98.17","97.8","98.32","98.92","99.43","100.28","101.67","102.47","103.45","103.35","102.99","100.65","100.02","98.51","99.26","99.29","98.09",
"농림수산품","달러기준","수입물가지수(기본분류)","2015=100","114.19","113.92","114.38","113.2","112.66","110.55","108.91","108.57","108.41","108.27","107.97","107.51","108.79","110.43","113.94","116.33","116.47","115.01","114.21","113.58","112.6","112.35","110.61","109.72","107.61","105.59","104.25","102.85","100.54","100.49","98.82","97.65","96.89","96.08","95.13","94.11","93.75","92.93","92.41","94.48","96.53","97.97","97.27","98.53","99.59","100.1","100.4","100.07","101.44","101.81","102.04","100.68","99.19","98.88","99.16","98.37","97.98","98.46","99.05","99.57","100.46","101.9","102.78","103.7","103.52","103.14","100.76","100.14","98.6","99.33","99.34","98.16",
