"계정코드별","통화계약구분코드별","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월",
"가방및핸드백","계약통화기준","수입물가지수(기본분류)","2015=100","95.56","95.56","95.56","95.56","95.56","95.41","95.41","95.41","95.41","95.41","95.41","95.41","96.46","96.46","96.46","96.46","96.46","96.82","98.73","98.73","98.73","98.73","98.73","98.73","99.12","99.12","99.12","99.12","99.12","99.12","99.12","100.34","100.34","101.39","101.39","102.67","102.67","102.67","102.67","102.29","102.29","106.99","106.99","106.99","106.99","106.99","106.99","106.99","107.03","107.03","107.03","107.03","107.03","107.03","107.25","107.25","107.11","106.89","106.53","106.52","107.12","107.06","108.08","108.25","109.51","113.54","111.37","112.59","110.87","111.78","112.37","107.49",
"가방및핸드백","달러기준","수입물가지수(기본분류)","2015=100","106.43","104.94","102.72","102.44","102.61","102.75","102.48","103.77","104.6","106.45","106.25","107.11","107.85","107.7","108.18","108.98","109.42","109.79","111.8","110.82","109.19","106.99","104.53","103.63","102.72","101.36","99.12","100.08","101.16","100.29","98.22","98.3","98.38","100.98","99.3","100.09","98.75","98.73","100.16","102.3","101.07","105.57","106.25","108.44","108.7","107.13","104.39","102.56","102.63","105.01","105.71","105.88","107.23","107.34","108.27","108.96","108.99","108.42","109.66","111.15","113.95","113.47","115.07","115.34","115.31","117.97","113.42","114.6","113.02","112.95","113.52","109.04",
"가죽제품","원화기준","수입물가지수(기본분류)","2015=100","97.63","98.8","98.8","100.44","99.52","102.41","102.01","101.93","99.71","98.98","98.54","98.52","99.59","100.13","100.16","98.22","96.66","96.3","97.32","97.24","96.98","98.19","100.18","100.44","98.47","98.41","98.13","96.66","97.65","98.97","99.91","103.08","103.29","101.66","100.78","102.98","104.83","106.26","104.51","102.15","103.67","105.57","103.41","101.55","101.28","101.87","103.79","105.57","105.6","103.12","102.53","102.43","102.47","103.21","103.82","104.01","104.13","103.68","102.08","101.8","101.62","102.36","102.45","102.25","102.71","104.62","104.7","105.01","104.37","105.64","105.53","104.85",
"가죽제품","계약통화기준","수입물가지수(기본분류)","2015=100","96.5","96.5","96.5","96.5","96.5","96.92","97.41","97.41","97.41","97.41","97.5","97.5","98.08","98.08","97.82","97.82","97.82","98.02","99.1","99.1","99.1","99.11","99.37","99.37","99.77","99.77","99.77","99.81","99.81","99.81","99.42","100.19","99.85","100.36","100.36","101.08","101.08","101.08","101.15","101.07","101.07","103.1","103.1","103.1","103.1","102.84","102.84","103.74","103.48","103.48","103.48","103.48","103.48","103.69","103.6","103.6","103.55","103.3","103.16","103.83","104.02","104","104.41","104.48","105.01","106.47","105.38","105.89","105.17","106.19","106.3","105.81",
"가죽제품","달러기준","수입물가지수(기본분류)","2015=100","103.6","102.8","101.35","101.22","101.3","102","102.32","103.17","103.68","104.9","104.82","105.41","105.75","105.68","105.74","106.31","106.62","106.8","107.89","107.23","106.12","104.71","103.42","102.83","102.24","101.29","99.72","100.39","101.17","100.61","98.81","98.84","98.57","100.1","98.92","99.33","98.63","98.69","99.45","100.65","100.06","101.98","102.19","103.27","103.39","102.35","101.02","100.96","100.75","101.83","102.16","102.24","102.96","103.27","103.6","104","104.05","103.6","104.44","106.01","107.71","107.21","108.07","108.27","107.89","108.24","105.44","105.9","105.3","105.62","105.72","105.58",
"섬유및가죽제품","원화기준","수입물가지수(기본분류)","2015=100","97.95","101.11","102.23","103.68","102.33","104.47","103.8","103.35","100.93","99.54","98.92","98.15","99.33","100.51","100.54","98.28","96.67","96.14","96.33","96.53","96.49","98.08","99.92","99.91","97.44","97.88","98.56","97.01","97.46","98.81","100.76","103.8","103.72","101.1","101","102.46","104.59","105.7","103.65","101.06","103.19","103.36","102.08","99.87","99.38","100.03","102.36","103.47","103.82","100.96","100.3","100.27","99.72","99.22","99.66","99.59","99.65","99.64","97.78","96.83","96.1","96.9","96.58","96.32","97.28","98.87","100.04","99.82","99.45","100.12","99.3","97.97",
"섬유및가죽제품","계약통화기준","수입물가지수(기본분류)","2015=100","100.35","102.02","102.3","102.18","101.96","101.7","101.89","101.96","102.05","102.02","101.88","101.61","102.21","102.78","102.73","102.62","102.61","102.61","102.77","102.74","102.52","102.19","101.67","101.13","100.14","100.05","100.01","100.22","100.28","100.13","99.96","100.32","99.76","99.77","99.72","99.66","99.58","99.37","99.39","99.6","99.94","100.12","100.86","100.92","100.73","100.25","100.26","100.23","100.29","100.37","100.45","100.48","100.36","99.38","99.4","99.37","99.35","99.47","99.53","99.94","100.24","100.01","100.14","100.22","100.9","101.53","100.78","100.72","100.38","100.5","99.88","98.88",
"섬유및가죽제품","달러기준","수입물가지수(기본분류)","2015=100","103.96","105.21","104.87","104.49","104.17","104.05","104.12","104.62","104.96","105.51","105.24","105.03","105.48","106.09","106.16","106.38","106.64","106.64","106.79","106.44","105.59","104.6","103.17","102.29","101.18","100.76","100.16","100.76","100.98","100.45","99.66","99.53","98.99","99.56","99.14","98.83","98.42","98.17","98.64","99.58","99.59","99.85","100.88","101.58","101.46","100.51","99.63","98.96","99.05","99.71","99.94","100.08","100.2","99.27","99.4","99.58","99.57","99.56","100.04","100.83","101.86","101.48","101.88","101.98","102.17","102.29","100.73","100.66","100.35","100.1","99.48","98.64",
"합판","원화기준","수입물가지수(기본분류)","2015=100","89.63","92.06","100.63","102.42","100.91","102.65","102.67","101.42","98.14","96.39","96.04","96.4","97.26","97.91","98.45","96.03","94.3","93.32","94.33","94.4","95.12","97.61","100.8","101.65","100.06","100.69","101.99","99.79","100.78","102.34","105.19","103.51","100.57","94.48","94.16","96.45","97.81","98.52","95.53","90.79","91.14","90.53","86.82","84.36","83.88","85.09","87.3","88.71","88.92","86.25","85.66","85.51","84.94","89.36","91.3","93.05","94.79","97.57","99.05","100.88","99.86","105.44","110.77","111.5","113.2","116","118.79","113.73","113.67","109.16","106.78","100",
"합판","계약통화기준","수입물가지수(기본분류)","2015=100","95.03","95.7","103.13","103.13","102.63","102.15","102.89","102.58","101.95","102.06","102.06","103.06","103.19","103.24","103.85","103.85","103.92","103.42","104.49","104","104","104","103.99","103.99","103.8","103.56","103.56","103.56","104.33","103.94","103.94","99.17","95.9","92.96","92.34","92.94","91.95","91.43","90.82","89.37","87.89","87.37","85.73","85.73","85.55","85.41","84.89","84.76","84.76","85.1","85.27","85.27","85.27","89.33","90.92","92.95","94.63","97.41","101.26","104.96","105.76","110.33","116.74","117.96","118.8","119.93","119.52","114.6","114.6","109.05","106.89","100.6",
"합판","달러기준","수입물가지수(기본분류)","2015=100","95.03","95.7","103.13","103.13","102.63","102.15","102.89","102.58","101.95","102.06","102.06","103.06","103.19","103.24","103.85","103.85","103.92","103.42","104.49","104","104","104","103.99","103.99","103.8","103.56","103.56","103.56","104.33","103.94","103.94","99.17","95.9","92.96","92.34","92.94","91.95","91.43","90.82","89.37","87.89","87.37","85.73","85.73","85.55","85.41","84.89","84.76","84.76","85.1","85.27","85.27","85.27","89.33","90.92","92.95","94.63","97.41","101.26","104.96","105.76","110.33","116.74","117.96","118.8","119.93","119.52","114.6","114.6","109.05","106.89","100.6",
"기타원지및판지","원화기준","수입물가지수(기본분류)","2015=100","94.9","96.81","97.17","100.15","99.41","101.6","100.89","100.33","98.08","96.23","95.87","95.32","95.43","96.02","95.99","93.62","91.87","91.37","91.42","91.9","92.61","95.03","98.16","98.99","97.54","98.39","99.66","95.27","95.5","97.33","100.04","104.57","105.06","101.82","102.16","102.65","104.59","105.95","102.73","97.94","99.98","99.9","96.29","93.56","93.73","94.7","97.77","100.05","100.29","98.33","97.46","97.92","97.61","98.02","98.4","98.08","99.09","99.4","98.4","96.69","95.38","96.54","96.42","98.69","99.86","101.39","104.37","104.6","104.55","112.14","112.45","111.88",
"기타원지및판지","계약통화기준","수입물가지수(기본분류)","2015=100","100.74","100.74","99.7","100.95","101.22","101.22","101.22","101.58","102.01","102.01","102.01","102.01","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.3","101.3","101.3","98.97","98.97","98.97","98.97","100.3","100.3","100.3","100.3","99.03","98.44","98.44","97.77","96.51","96.51","96.51","95.19","95.19","95.71","95.19","95.19","95.71","95.71","97.14","97.14","97.77","98.11","98.11","98.11","98.11","99.04","99.36","100.72","100.72","101.13","101.13","101.74","104.54","104.93","104.93","105.13","105.51","105.51","112.16","112.69","112.69",
"기타원지및판지","달러기준","수입물가지수(기본분류)","2015=100","100.74","100.74","99.7","100.95","101.22","101.22","101.22","101.58","102.01","102.01","102.01","102.01","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.37","101.3","101.3","101.3","98.97","98.97","98.97","98.97","100.3","100.3","100.3","100.3","99.03","98.44","98.44","97.77","96.51","96.51","96.51","95.19","95.19","95.71","95.19","95.19","95.71","95.71","97.14","97.14","97.77","98.11","98.11","98.11","98.11","99.04","99.36","100.72","100.72","101.13","101.13","101.74","104.54","104.93","104.93","105.13","105.51","105.51","112.16","112.69","112.69",
"종이류","원화기준","수입물가지수(기본분류)","2015=100","96.67","98.7","99.7","102.31","101.39","103.52","102.8","101.35","98.81","96.94","96.59","95.93","96.53","97.13","97.18","94.78","92.58","92.07","92.12","92.61","93.32","95.76","98.91","99.35","97.69","98.54","99.81","95.54","95.76","97.57","100.23","104.35","104.85","101.55","101.77","102.34","104.41","105.62","102.55","98.08","100.12","100.14","96.65","93.91","94.04","95.22","98.23","100.4","100.64","98.46","98.02","98.75","98.43","99.05","99.43","99.11","99.91","100.28","99.6","98.27","97.21","98.81","99.07","101.15","102.45","104.06","107.6","107.74","107.88","113.85","113.89","113",
"종이류","계약통화기준","수입물가지수(기본분류)","2015=100","102.61","102.71","102.29","103.13","103.22","103.13","103.13","102.6","102.76","102.76","102.76","102.66","102.53","102.53","102.62","102.62","102.14","102.14","102.14","102.14","102.14","102.14","102.14","101.74","101.45","101.45","101.45","99.24","99.24","99.21","99.15","100.08","100.08","100.02","99.91","98.72","98.26","98.12","97.6","96.65","96.65","96.74","95.53","95.53","96.02","95.7","95.62","96.04","96.04","97.26","97.69","98.59","98.92","99.13","99.13","99.13","99.85","100.23","101.75","102.02","102.56","103.1","104.06","106.62","107.19","107.36","108.26","108.55","108.74","113.79","114.03","113.68",
"종이류","달러기준","수입물가지수(기본분류)","2015=100","102.61","102.71","102.29","103.13","103.22","103.13","103.13","102.6","102.76","102.76","102.76","102.66","102.53","102.53","102.62","102.62","102.14","102.14","102.14","102.14","102.14","102.14","102.14","101.74","101.45","101.45","101.45","99.24","99.24","99.21","99.15","100.08","100.08","100.02","99.91","98.72","98.26","98.12","97.6","96.65","96.65","96.74","95.53","95.53","96.02","95.7","95.62","96.04","96.04","97.26","97.69","98.59","98.92","99.13","99.13","99.13","99.85","100.23","101.94","102.36","103.06","103.52","104.53","107.13","107.64","107.68","108.37","108.68","108.87","113.87","114.11","113.81",
"펄프및종이제품","원화기준","수입물가지수(기본분류)","2015=100","97.47","100.03","103.2","105.9","104.67","107","105.36","102.61","100.35","99.09","98.96","98.32","98.49","99.6","98.77","95.53","93.17","91.86","91.92","92.43","92.97","95.35","98.45","99.11","97.56","98.1","98.71","96.03","96.51","100.52","102.54","105.1","105.29","100.76","99.16","99.73","101.11","101.28","97.43","94.14","97.56","97.87","94.01","90.05","90.18","91.82","94.87","98.02","100.05","99.46","100.68","101.63","102.41","102.97","103.16","103.04","105.85","110.6","112.31","113.13","111.93","113.22","112.13","113.04","114.13","116.24","119.62","119.25","119.59","122.62","118.59","113.83",
"펄프및종이제품","계약통화기준","수입물가지수(기본분류)","2015=100","103.45","104.08","105.86","106.74","106.56","106.58","105.69","103.88","104.35","105.03","105.28","105.22","104.61","105.14","104.3","103.42","102.79","101.9","101.91","101.93","101.75","101.69","101.66","101.47","101.3","100.99","100.32","99.74","100","102.2","101.42","100.78","100.49","99.23","97.34","96.19","95.14","94.07","92.72","92.76","94.16","94.54","92.91","91.59","92.08","92.26","92.35","93.74","95.46","98.22","100.32","101.45","102.9","103.03","102.82","103.04","105.76","110.52","114.83","117.67","118.45","118.41","118.09","119.49","119.71","120.14","120.42","120.22","120.61","122.59","118.79","114.59",
"펄프및종이제품","달러기준","수입물가지수(기본분류)","2015=100","103.45","104.08","105.86","106.74","106.56","106.58","105.69","103.88","104.35","105.03","105.28","105.22","104.61","105.14","104.3","103.42","102.79","101.9","101.91","101.93","101.75","101.69","101.66","101.47","101.3","100.99","100.32","99.74","100","102.2","101.42","100.78","100.49","99.23","97.34","96.19","95.14","94.07","92.72","92.76","94.16","94.54","92.91","91.59","92.08","92.26","92.35","93.74","95.46","98.22","100.32","101.45","102.9","103.03","102.82","103.04","105.76","110.52","114.91","117.81","118.66","118.58","118.28","119.69","119.88","120.27","120.46","120.27","120.66","122.6","118.81","114.62",
"제트유","원화기준","수입물가지수(기본분류)","2015=100","179.96","191.71","179.52","171.92","168.97","174.79","180.14","183.73","177.62","173.16","171.88","176.54","170.78","173.47","169.46","166.07","162.05","162.38","159.77","157.67","153.27","142.01","139.24","114.12","94","110.43","105.28","105.86","115.78","110.54","101.57","93.96","95.26","94.59","90.78","81.93","72.83","70.47","74.95","79.62","85.28","92.72","89.64","86.25","85.63","91.52","93.53","97.58","104.04","104.29","99.72","98.68","91.78","84.62","93.11","100.38","117.12","108.38","112.3","114.06","120.47","115.28","114.86","124.45","134.19","131.69","136.15","137.33","141.87","146.1","129.74","110.73",
"제트유","계약통화기준","수입물가지수(기본분류)","2015=100","190.96","199.42","184.12","173.24","171.99","174.06","180.66","185.94","184.66","183.49","182.82","188.88","181.34","183.04","178.89","179.74","178.72","180.1","177.09","173.84","167.69","151.4","143.74","116.82","97.59","113.66","106.97","109.93","119.94","112.36","100.44","90.09","90.9","91.68","87.84","78.6","69.01","66.34","71.41","77.2","81.84","89","87.05","84.96","84.51","89.61","90.13","93.22","99.28","101.23","97.23","96.29","90.15","82.78","90.73","98.12","114.4","105.87","112.34","116.11","124.83","118.03","118.44","128.84","137.8","133.2","134.04","135.38","139.92","142.8","127.07","108.99",
"제트유","달러기준","수입물가지수(기본분류)","2015=100","190.47","198.91","183.64","172.79","171.55","173.6","180.19","185.46","184.18","183.01","182.34","188.39","180.87","182.57","178.42","179.27","178.25","179.63","176.63","173.39","167.25","151.01","143.36","116.52","97.34","113.36","106.7","109.64","119.63","112.07","100.18","89.86","90.66","92.89","88.86","78.81","68.34","65.27","71.13","78.24","82.08","89.32","88.36","87.48","87.18","91.71","90.78","93.07","99","102.71","99.09","98.23","91.96","84.44","92.55","100.09","116.7","108","114.59","118.45","127.35","120.4","120.83","131.43","140.58","135.89","136.74","138.11","142.74","145.68","129.63","111.19",
"원유정제처리제품","원화기준","수입물가지수(기본분류)","2015=100","183.36","191.07","184.55","175.26","171","176.3","178.72","181.99","180.51","173.91","177.25","189.83","182.21","180.56","174.85","169.4","167.67","169.46","168.47","162.29","158.56","146.8","136.83","116.71","89.93","107.85","108.29","108.09","114.06","111.48","104.77","95.23","90.86","90.93","91.42","87.1","74.07","69.63","75.64","78.62","85.94","88.85","82.11","78.02","81.11","91.52","94.1","103.78","111.44","110.43","102.29","101.78","94.99","90.66","92.32","99.05","107.46","111.88","117.39","117.72","118.63","112.59","111.96","117.53","129.46","129.74","135.38","137.51","143.18","147.88","122.11","107.16",
